match_id,label,group,date,date,venue,dur,gameweek,round_id,home,away,winner,loser,ref,ref2,ref3,ref4
2058017,"France - Croatia, 4 - 2",,2018-07-15 15:00:00,"July 15, 2018 at 5:00:00 PM GMT+2",Olimpiyskiy stadion Luzhniki,Regular,0,4165368,4418,9598,4418,9598,378051,378038,378060,377215
2058016,"Belgium - England, 2 - 0",,2018-07-14 14:00:00,"July 14, 2018 at 4:00:00 PM GMT+2",Stadion Krestovskyi,Regular,0,4165367,5629,2413,5629,2413,380599,380642,380666,407722
2058015,"Croatia - England, 2 - 1 (E)",,2018-07-11 18:00:00,"July 11, 2018 at 8:00:00 PM GMT+2",Olimpiyskiy stadion Luzhniki,ExtraTime,0,4165366,9598,2413,9598,2413,384995,384950,384938,377215
2058014,"France - Belgium, 1 - 0",,2018-07-10 18:00:00,"July 10, 2018 at 8:00:00 PM GMT+2",Stadion Krestovskyi,Regular,0,4165366,4418,5629,4418,5629,378232,378231,378126,379973
2058012,"Russia - Croatia, 2 - 2 (P)",,2018-07-07 18:00:00,"July 7, 2018 at 8:00:00 PM GMT+2",Olimpiyskiy Stadion Fisht,Penalties,0,4165365,14358,9598,9598,14358,378204,378144,378145,407737
2058013,"Sweden - England, 0 - 2",,2018-07-07 14:00:00,"July 7, 2018 at 4:00:00 PM GMT+2",Samara Arena,Regular,0,4165365,7047,2413,2413,7047,377215,457041,384929,384946
2058011,"Brazil - Belgium, 1 - 2",,2018-07-06 18:00:00,"July 6, 2018 at 8:00:00 PM GMT+2",Kazan' Arena,Regular,0,4165365,6380,5629,5629,6380,384932,384980,392330,381595
2058010,"Uruguay - France, 0 - 2",,2018-07-06 14:00:00,"July 6, 2018 at 4:00:00 PM GMT+2",Stadion Nizhny Novgorod,Regular,0,4165365,15670,4418,4418,15670,378051,378038,378060,380599
2058009,"Colombia - England, 1 - 1 (P)",,2018-07-03 18:00:00,"July 3, 2018 at 8:00:00 PM GMT+2",Otkrytiye Arena,Penalties,0,4165364,12430,2413,2413,12430,380884,382685,381481,407046
2058008,"Sweden - Switzerland, 1 - 0",,2018-07-03 14:00:00,"July 3, 2018 at 4:00:00 PM GMT+2",Stadion Krestovskyi,Regular,0,4165364,7047,6697,7047,6697,384921,385013,385003,380581
2058007,"Belgium - Japan, 3 - 2",,2018-07-02 18:00:00,"July 2, 2018 at 8:00:00 PM GMT+2",Rostov Arena,Regular,0,4165364,5629,12913,5629,12913,407722,407732,407514,407901
2058006,"Brazil - Mexico, 2 - 0",,2018-07-02 14:00:00,"July 2, 2018 at 4:00:00 PM GMT+2",Samara Arena,Regular,0,4165364,6380,15473,6380,15473,377206,383492,384974,384946
2058005,"Croatia - Denmark, 1 - 1 (P)",,2018-07-01 18:00:00,"July 1, 2018 at 8:00:00 PM GMT+2",Stadion Nizhny Novgorod,Penalties,0,4165364,9598,7712,9598,7712,378051,378038,378060,378212
2058004,"Spain - Russia, 1 - 1 (P)",,2018-07-01 14:00:00,"July 1, 2018 at 4:00:00 PM GMT+2",Olimpiyskiy stadion Luzhniki,Penalties,0,4165364,1598,14358,14358,1598,377215,384909,384929,384931
2058002,"Uruguay - Portugal, 2 - 1",,2018-06-30 18:00:00,"June 30, 2018 at 8:00:00 PM GMT+2",Olimpiyskiy Stadion Fisht,Regular,0,4165364,15670,9905,15670,9905,379973,384145,384148,381595
2058003,"France - Argentina, 4 - 3",,2018-06-30 14:00:00,"June 30, 2018 at 4:00:00 PM GMT+2",Kazan' Arena,Regular,0,4165364,4418,12274,4418,12274,380599,380642,380666,378151
2057994,"England - Belgium, 0 - 1",Group G,2018-06-28 18:00:00,"June 28, 2018 at 8:00:00 PM GMT+2",Kaliningrad Stadium,Regular,3,4165363,2413,5629,5629,2413,384921,385013,385003,398196
2057995,"Panama - Tunisia, 1 - 2",Group G,2018-06-28 18:00:00,"June 28, 2018 at 8:00:00 PM GMT+2",Mordovia Arena,Regular,3,4165363,17929,16276,16276,17929,380581,380595,383960,395822
2058000,"Japan - Poland, 0 - 1",Group H,2018-06-28 14:00:00,"June 28, 2018 at 4:00:00 PM GMT+2",Volgograd Arena,Regular,3,4165363,12913,13869,13869,12913,407737,456293,407519,379140
2058001,"Senegal - Colombia, 0 - 1",Group H,2018-06-28 14:00:00,"June 28, 2018 at 4:00:00 PM GMT+2",Samara Arena,Regular,3,4165363,19314,12430,12430,19314,384932,384980,392330,407813
2057982,"Serbia - Brazil, 0 - 2",Group E,2018-06-27 18:00:00,"June 27, 2018 at 8:00:00 PM GMT+2",Otkrytiye Arena,Regular,3,4165363,17322,6380,6380,17322,380599,380642,380666,381595
2057983,"Switzerland - Costa Rica, 2 - 2",Group E,2018-06-27 18:00:00,"June 27, 2018 at 8:00:00 PM GMT+2",Stadion Nizhny Novgorod,Regular,3,4165363,6697,16871,0,0,384931,384955,381841,456269
2057989,"Mexico - Sweden, 0 - 3",Group F,2018-06-27 14:00:00,"June 27, 2018 at 4:00:00 PM GMT+2",Stadion Central'nyj,Regular,3,4165363,15473,7047,7047,15473,378051,378038,378060,378232
2057988,"Korea Republic - Germany, 2 - 0",Group F,2018-06-27 14:00:00,"June 27, 2018 at 4:00:00 PM GMT+2",Kazan' Arena,Regular,3,4165363,14855,3148,14855,3148,380884,382685,381481,378151
2057976,"Nigeria - Argentina, 1 - 2",Group D,2018-06-26 18:00:00,"June 26, 2018 at 8:00:00 PM GMT+2",Stadion Krestovskyi,Regular,3,4165363,16823,12274,12274,16823,384995,384950,384938,377215
2057977,"Iceland - Croatia, 1 - 2",Group D,2018-06-26 18:00:00,"June 26, 2018 at 8:00:00 PM GMT+2",Rostov Arena,Regular,3,4165363,7839,9598,9598,7839,384946,384962,384993,380889
2057971,"Australia - Peru, 0 - 2",Group C,2018-06-26 14:00:00,"June 26, 2018 at 4:00:00 PM GMT+2",Olimpiyskiy Stadion Fisht,Regular,3,4165363,8493,15594,15594,8493,384982,381828,381829,380103
2057970,"Denmark - France, 0 - 0",Group C,2018-06-26 14:00:00,"June 26, 2018 at 4:00:00 PM GMT+2",Olimpiyskiy stadion Luzhniki,Regular,3,4165363,7712,4418,0,0,378204,378144,378145,377206
2057965,"Spain - Morocco, 2 - 2",Group B,2018-06-25 18:00:00,"June 25, 2018 at 8:00:00 PM GMT+2",Kaliningrad Stadium,Regular,3,4165363,1598,16216,0,0,380597,380580,380616,398196
2057964,"Iran - Portugal, 1 - 1",Group B,2018-06-25 18:00:00,"June 25, 2018 at 8:00:00 PM GMT+2",Mordovia Arena,Regular,3,4165363,10840,9905,0,0,378212,378243,378240,395822
2057959,"Saudi Arabia - Egypt, 2 - 1",Group A,2018-06-25 14:00:00,"June 25, 2018 at 4:00:00 PM GMT+2",Volgograd Arena,Regular,3,4165363,16521,16129,16521,16129,378169,378217,378218,379140
2057958,"Uruguay - Russia, 3 - 0",Group A,2018-06-25 14:00:00,"June 25, 2018 at 4:00:00 PM GMT+2",Samara Arena,Regular,3,4165363,15670,14358,15670,14358,407722,407732,407514,407813
2057998,"Poland - Colombia, 0 - 3",Group H,2018-06-24 18:00:00,"June 24, 2018 at 8:00:00 PM GMT+2",Kazan' Arena,Regular,2,4165363,13869,12430,12430,13869,379973,384145,384148,378151
2057999,"Japan - Senegal, 2 - 2",Group H,2018-06-24 15:00:00,"June 24, 2018 at 5:00:00 PM GMT+2",Stadion Central'nyj,Regular,2,4165363,12913,19314,0,0,377206,383492,384974,380678
2057993,"England - Panama, 6 - 1",Group G,2018-06-24 12:00:00,"June 24, 2018 at 2:00:00 PM GMT+2",Stadion Nizhny Novgorod,Regular,2,4165363,2413,17929,2413,17929,411262,407503,411256,456269
2057986,"Germany - Sweden, 2 - 1",Group F,2018-06-23 18:00:00,"June 23, 2018 at 8:00:00 PM GMT+2",Olimpiyskiy Stadion Fisht,Regular,2,4165363,3148,7047,3148,7047,384987,384926,384981,380103
2057987,"Korea Republic - Mexico, 1 - 2",Group F,2018-06-23 15:00:00,"June 23, 2018 at 5:00:00 PM GMT+2",Rostov Arena,Regular,2,4165363,14855,15473,15473,14855,384932,384980,392330,380889
2057992,"Belgium - Tunisia, 5 - 2",Group G,2018-06-23 12:00:00,"June 23, 2018 at 2:00:00 PM GMT+2",Otkrytiye Arena,Regular,2,4165363,5629,16276,5629,16276,381595,379890,380885,378232
2057981,"Serbia - Switzerland, 1 - 2",Group E,2018-06-22 18:00:00,"June 22, 2018 at 8:00:00 PM GMT+2",Kaliningrad Stadium,Regular,2,4165363,17322,6697,6697,17322,384898,383884,383886,380581
2057975,"Nigeria - Iceland, 2 - 0",Group D,2018-06-22 15:00:00,"June 22, 2018 at 5:00:00 PM GMT+2",Volgograd Arena,Regular,2,4165363,16823,7839,16823,7839,407046,407930,456654,379140
2057980,"Brazil - Costa Rica, 2 - 0",Group E,2018-06-22 12:00:00,"June 22, 2018 at 2:00:00 PM GMT+2",Stadion Krestovskyi,Regular,2,4165363,6380,16871,6380,16871,377215,384909,384929,384921
2057974,"Argentina - Croatia, 0 - 3",Group D,2018-06-21 18:00:00,"June 21, 2018 at 8:00:00 PM GMT+2",Stadion Nizhny Novgorod,Regular,2,4165363,12274,9598,9598,12274,380597,380580,380616,456269
2057968,"France - Peru, 1 - 0",Group C,2018-06-21 15:00:00,"June 21, 2018 at 5:00:00 PM GMT+2",Stadion Central'nyj,Regular,2,4165363,4418,15594,4418,15594,398196,380659,380657,407737
2057969,"Denmark - Australia, 1 - 1",Group C,2018-06-21 12:00:00,"June 21, 2018 at 2:00:00 PM GMT+2",Samara Arena,Regular,2,4165363,7712,8493,0,0,384946,384962,384993,407813
2057963,"Iran - Spain, 0 - 1",Group B,2018-06-20 18:00:00,"June 20, 2018 at 8:00:00 PM GMT+2",Kazan' Arena,Regular,2,4165363,10840,1598,1598,10840,378232,378231,378126,378151
2057957,"Uruguay - Saudi Arabia, 1 - 0",Group A,2018-06-20 15:00:00,"June 20, 2018 at 5:00:00 PM GMT+2",Rostov Arena,Regular,2,4165363,15670,16521,15670,16521,384931,384955,381841,380889
2057962,"Portugal - Morocco, 1 - 0",Group B,2018-06-20 12:00:00,"June 20, 2018 at 2:00:00 PM GMT+2",Olimpiyskiy stadion Luzhniki,Regular,2,4165363,9905,16216,9905,16216,380884,382685,381481,384982
2057956,"Russia - Egypt, 3 - 1",Group A,2018-06-19 18:00:00,"June 19, 2018 at 8:00:00 PM GMT+2",Stadion Krestovskyi,Regular,2,4165363,14358,16129,14358,16129,378212,378243,378240,384995
2057996,"Poland - Senegal, 1 - 2",Group H,2018-06-19 15:00:00,"June 19, 2018 at 5:00:00 PM GMT+2",Otkrytiye Arena,Regular,1,4165363,13869,19314,19314,13869,380581,380595,383960,380678
2057997,"Colombia - Japan, 1 - 2",Group H,2018-06-19 12:00:00,"June 19, 2018 at 2:00:00 PM GMT+2",Mordovia Arena,Regular,1,4165363,12430,12913,12913,12430,384921,385013,385003,395822
2057991,"Tunisia - England, 1 - 2",Group G,2018-06-18 18:00:00,"June 18, 2018 at 8:00:00 PM GMT+2",Volgograd Arena,Regular,1,4165363,16276,2413,2413,16276,378169,378217,378218,379140
2057990,"Belgium - Panama, 3 - 0",Group G,2018-06-18 15:00:00,"June 18, 2018 at 5:00:00 PM GMT+2",Olimpiyskiy Stadion Fisht,Regular,1,4165363,5629,17929,5629,17929,407737,456293,407519,380103
2057985,"Sweden - Korea Republic, 1 - 0",Group F,2018-06-18 12:00:00,"June 18, 2018 at 2:00:00 PM GMT+2",Stadion Nizhny Novgorod,Regular,1,4165363,7047,14855,7047,14855,381475,380885,379916,456269
2057978,"Brazil - Switzerland, 1 - 1",Group E,2018-06-17 18:00:00,"June 17, 2018 at 8:00:00 PM GMT+2",Rostov Arena,Regular,1,4165363,6380,6697,0,0,379973,384145,384148,457142
2057984,"Germany - Mexico, 0 - 1",Group F,2018-06-17 15:00:00,"June 17, 2018 at 5:00:00 PM GMT+2",Stadion Luzhniki,Regular,1,4165363,3148,15473,15473,3148,380599,380642,380666,380638
2057979,"Costa Rica - Serbia, 0 - 1",Group E,2018-06-17 12:00:00,"June 17, 2018 at 2:00:00 PM GMT+2",Samara Arena,Regular,1,4165363,16871,17322,17322,16871,407722,407732,407514,407813
2057973,"Croatia - Nigeria, 2 - 0",Group D,2018-06-16 19:00:00,"June 16, 2018 at 9:00:00 PM GMT+2",Kaliningrad Stadium,Regular,1,4165363,9598,16823,9598,16823,378204,378144,378145,384946
2057967,"Peru - Denmark, 0 - 1",Group C,2018-06-16 16:00:00,"June 16, 2018 at 6:00:00 PM GMT+2",Mordovia Arena,Regular,1,4165363,15594,7712,7712,15594,407901,411261,411252,395822
2057972,"Argentina - Iceland, 1 - 1",Group D,2018-06-16 13:00:00,"June 16, 2018 at 3:00:00 PM GMT+2",Otkrytiye Arena,Regular,1,4165363,12274,7839,0,0,384987,384926,384981,378169
2057966,"France - Australia, 2 - 1",Group C,2018-06-16 10:00:00,"June 16, 2018 at 12:00:00 PM GMT+2",Kazan' Arena,Regular,1,4165363,4418,8493,4418,8493,378232,378231,378126,378151
2057960,"Portugal - Spain, 3 - 3",Group B,2018-06-15 18:00:00,"June 15, 2018 at 8:00:00 PM GMT+2",Olimpiyskiy Stadion Fisht,Regular,1,4165363,9905,1598,0,0,377206,383492,384974,380103
2057961,"Morocco - Iran, 0 - 1",Group B,2018-06-15 15:00:00,"June 15, 2018 at 5:00:00 PM GMT+2",Stadion Krestovskyi,Regular,1,4165363,16216,10840,10840,16216,384995,384950,384938,384982
2057955,"Egypt - Uruguay, 0 - 1",Group A,2018-06-15 12:00:00,"June 15, 2018 at 2:00:00 PM GMT+2",Stadion Central'nyj,Regular,1,4165363,16129,15670,15670,16129,377215,384909,384929,384932
2057954,"Russia - Saudi Arabia, 5 - 0",Group A,2018-06-14 15:00:00,"June 14, 2018 at 5:00:00 PM GMT+2",Olimpiyskiy stadion Luzhniki,Regular,1,4165363,14358,16521,14358,16521,378051,378060,378038,378204
